Spot #,Position 1,Position 2,Pot Type,Hand,Board
43,SB,BTN,3BP,AcJs,KhQc7hAhKs
44,SB,CO,SRP,KhJh,4hAdQcJd6c
45,HJ,UTG,SRP,AdJd,4sKcKh2h8h
46,CO,BB,SRP,7d8d,JsThKh8sAs
47,CO,BTN,3BP,4d4c,Kc4h7sQsAs
48,CO,SB,3BP,JsTs,TcQc3d8s8c
49,HJ,SB,SRP,KdTs,KcQc8d7cJd
50,BB,BTN,SRP,Ac7h,Qh8hThJcJh
51,SB,HJ,3BP,AdJd,3sAhTd5c5s
52,CO,BTN,4BP,AhKh,JhQc5hQs2d
53,BTN,SB,3BP,Ac4c,Kd5d9cJhTc
54,BTN,HJ,3BP,AsJd,8dAh2c6h3d
55,BTN,BB,SRP,9d8d,Td9hAdQh4d
56,SB,BB,4BP,AdKd,JdKc2c4sTc
57,SB,BTN,4BP,Ts9s,9c4cJh5h6s
58,HJ,BTN,3BP,TcTs,7d7sTh7c5s
59,CO,BTN,SRP,AdQc,Kh7c5s7d8h
60,BTN,SB,SRP,7d5d,Td4c3h3dTc
61,SB,CO,4BP,9h9d,2h4cQs8c9c
62,CO,BB,SRP,8s8c,Qc5sKhKcTd
63,CO,BTN,SRP,Ts8s,Qc2s3cTcAd
64,CO,SB,SRP,KdTs,5dAsTh8cJd
65,BB,HJ,3BP,QsJs,5hThTs3sKs
66,BTN,BB,SRP,7h7c,2s8d7s9hKc
67,BB,HJ,SRP,Qh9h,Ah3c7h4s4d
68,SB,BTN,SRP,KdQd,2s9hKs6sKh
69,BTN,SB,3BP,Ts8s,4c8d7c3s5d
70,SB,BB,SRP,Kh3h,6h6s5hAsAc
71,SB,BTN,SRP,AsJs,3cKh2s5s4s
72,CO,BB,3BP,AsQs,9s5hKdKs9h
73,HJ,BTN,SRP,Qs9s,4c5h7h2c6d
74,BB,CO,3BP,QcJc,5hJsTdTs8d
75,CO,BB,SRP,KhKc,5d4s9hQs9s
76,BTN,SB,SRP,AsQs,TcQhAc8sKh
77,HJ,BTN,3BP,Ad9d,Qc2d7s9cQh
78,CO,BTN,SRP,KcJs,5h6hAdKsTs
79,CO,BTN,3BP,JhJs,2d8sJc4d2c
80,BTN,HJ,3BP,KcTc,9c7cQd3h5d
81,BTN,BB,SRP,Qd9h,ThKdAd9cTs
82,SB,BB,SRP,Qc7c,3h9c5hThTc
83,BB,BTN,SRP,Jc4c,Td8dQc4dJh
84,SB,HJ,4BP,AsQs,5sAdQcTh4d
85,BB,UTG,SRP,KhTh,9s2sTsJdQs
86,BTN,UTG,SRP,8d8c,7sQsAh7c8h
87,BB,SB,SRP,Ac8h,4s5s3h4d8s
88,BB,BTN,3BP,Th9h,4d4sKsKc6s
89,BB,BTN,SRP,6d6c,9sQd5sKc9d
90,BTN,SB,SRP,Th7h,Ac3d5sJsQh
91,BB,BTN,3BP,KhQh,2h8s5sAh2s
92,BTN,SB,3BP,AhQh,Ad6s3hAsTh
93,BTN,BB,3BP,8h8c,8d4d8sAhAc
94,HJ,UTG,SRP,AdQd,As6h2sJsTh
95,CO,HJ,3BP,9c9s,ThJhQh5h6s
96,UTG,BB,SRP,AsKs,9dAc9cTh2c
97,SB,CO,SRP,QdJd,5c3s6c2hAd
98,BB,BTN,3BP,QdJd,6dTs8d5h3c
99,SB,BTN,SRP,AcQc,2s6d3hQh4h
100,SB,BTN,SRP,Ts9s,Kh9hKdJhAd
101,BTN,HJ,3BP,Ac3c,Jc2s5d4d7d
102,HJ,SB,SRP,Ks5s,Ac7cQd3h7d
103,BB,BTN,4BP,7s6s,4sJc8h3c6c
104,BTN,SB,3BP,8h8s,Qs9s6hKdJd
105,BB,BTN,SRP,8d5d,ThQh9c6dJs
106,BB,BTN,4BP,AhKh,9d3dQh9h3c
107,CO,SB,SRP,Jh8h,Ad8c9s4sAc
108,SB,BTN,3BP,Ah8h,5c9cAdQcTd
109,SB,BB,3BP,4h4c,JsJd7d6c2c
110,UTG,BB,SRP,AhTd,TsJhAc3s6h
111,BB,SB,SRP,7h4h,Ad3cAcJcQh
112,UTG,HJ,SRP,AhTh,3h5d5hAsKh
113,BTN,SB,SRP,Qc3c,4s4h3sKc2c
114,CO,BB,SRP,Ah9h,KdQd4dAs2d
115,BB,BTN,4BP,7d6d,8c2sAd8s4c
116,BTN,HJ,SRP,JdJs,QdJcTc7s5d
117,BTN,BB,SRP,TdTc,3cJdAs6hKd
118,BB,HJ,SRP,Td8d,Ks6d7c9s6h
119,CO,BB,SRP,AsKs,7c8cTs4d9h
120,HJ,SB,SRP,KdKs,3c7d6hJh5d
121,BTN,HJ,SRP,TdTh,4hTcAhJh8s
122,SB,BTN,3BP,JhJs,4sKdTsJd3s
123,HJ,BTN,SRP,As2s,Tc4sKc6dQh
124,BTN,BB,SRP,Ac8c,Ah7d9c3s9d
125,HJ,BB,SRP,As3s,9h9sAcKh8c
126,SB,UTG,4BP,AsJs,8c3c4d8d2s
127,BTN,SB,3BP,6c6h,8h6d5cQsQc
128,HJ,UTG,3BP,AhKd,2cTcKs6h6s
129,BB,BTN,3BP,TsTc,5s5dQs8d4h
130,BB,BTN,3BP,AcKc,3hJd6h2cJs
131,SB,CO,SRP,AhQd,4cTcQh5sKc
132,BB,BTN,3BP,AdKh,As2c8hAc8c
133,BTN,SB,SRP,Ks5s,2c3c7s4d2d
134,CO,SB,SRP,AdKc,2h2s3hQc3d
135,BTN,BB,SRP,Jc7c,8sTs7dTd9d
136,BB,UTG,SRP,9d9h,2hThQd9cKc
137,CO,BB,3BP,AhJh,5dAd9h8sAc
138,BTN,UTG,SRP,QsTs,Th7dKc4sJd
139,BB,HJ,SRP,AdJh,Jd7c7dTs5c
140,HJ,BB,3BP,7s7d,3cTsKsQd6h
141,BTN,UTG,SRP,KsJs,8s6h3d9d9s
142,BB,BTN,4BP,TdTs,7c2c5s8sKh
143,CO,BB,SRP,Qh6h,6d6c5sJsTd
144,BB,SB,SRP,QdTc,8dTh2d8cAc
145,CO,UTG,SRP,KhTh,4sKd5c5sQs
146,BB,BTN,3BP,JsJd,4d5h4h6cTh
147,UTG,BTN,SRP,AsQs,5dKcAdTh9h
148,BTN,SB,SRP,Qc8c,Kd3cJdAh2h
149,HJ,BTN,3BP,8c8s,8hJdKcAd7d
150,CO,BTN,SRP,Td8d,Th8sKhJs9c
151,BTN,HJ,SRP,Td9d,4h8cKc9c3h
152,BB,BTN,SRP,Kc9c,5s6c5d9sTd
153,UTG,HJ,SRP,AdTd,2sJh8s3s5d
154,UTG,BB,SRP,6h5h,Kd8h3c4d2d
155,HJ,BB,SRP,Kh7h,8dAhJc3cQd
156,CO,BTN,3BP,Ac9c,Th2c4cQh4d
157,SB,CO,3BP,Ah4h,6sTsAsJs7c
158,HJ,BB,SRP,Kh6h,8s9sAs5c3s
159,BTN,BB,SRP,9s6s,Ac7cJs7s3s
160,SB,CO,SRP,TsTd,KsThQs4c8h
161,SB,HJ,3BP,AhKs,Jh7cKcQs2h
162,SB,BTN,SRP,JhJs,TdKcAcTc4s
163,SB,BTN,SRP,JhTh,3c9h4c4d2s
164,BB,BTN,SRP,Ad3d,2d3h6sJh8s
165,BB,BTN,SRP,Js4s,3c5c2hAd2s
166,BTN,SB,SRP,Ah6s,Jh6d3c8h7d
167,SB,BB,SRP,Qd2d,8h5dJs5h8s
168,SB,BTN,3BP,KhJh,5hAdQh6cTc
169,HJ,BB,3BP,AhQh,TsKdTdQcTh
170,BTN,BB,4BP,QdQs,6hQc8hThJd
171,BB,BTN,SRP,9c7c,7h5hKs8d9d
172,BB,BTN,3BP,JdJc,6c2s8d7s3h
173,SB,BTN,SRP,7c6c,2d8cTsTd6h
174,BTN,BB,SRP,Jd9d,5cTc9sTd8h
175,BTN,UTG,SRP,As9s,9hAh8h9cTh
176,BB,BTN,3BP,Jd9d,Td9s7h3c8h
177,BB,UTG,SRP,AcQc,5cKhJc8h8d
178,BTN,SB,SRP,Js7s,6d7d8s4hKh
179,UTG,BTN,SRP,Ac6c,8dAs5c2c6s
180,BTN,HJ,SRP,Ah9h,9sQsQd7d5d
181,HJ,SB,SRP,Ah2h,3hQhAd2d3c
182,HJ,UTG,3BP,KsJs,7s5hQh8d3c
183,SB,CO,SRP,6h5h,Th4h4s6c2c
184,SB,BTN,SRP,9h9s,8dQh3h9c4h
185,UTG,CO,SRP,AcQc,Jh3s9s7d9c
186,BTN,UTG,SRP,8d8s,Td8c7dQs8h
187,UTG,BB,SRP,Kh6h,3d9sQhTc3h
188,BB,BTN,SRP,AdJd,Ks6sThAsKh
189,BTN,CO,3BP,Qc9c,6d2c9s5sKc
190,BTN,BB,3BP,JdTd,9d6sJc5h9c
191,SB,BTN,SRP,KsTs,3h8h9h7h9d
192,BTN,HJ,SRP,AcJc,8d3d5d4c9d
193,HJ,SB,SRP,5h5d,5c4d5sTcAh
194,BTN,HJ,SRP,8s8d,Ts5h8hKs5c
195,BB,SB,SRP,Ad9d,AcJc9sKh7s
196,BTN,BB,SRP,Ac5c,7cAd2d2c7h
197,HJ,UTG,SRP,AhTh,5d8d5c9hJs
198,BB,CO,4BP,AhQh,2s3sAs8sAc
199,CO,BTN,SRP,Td9d,2c5dKs4c7s
200,SB,BB,3BP,Ac8c,5cQd5h6sAh
201,UTG,BB,SRP,JcTc,AdJd2cTh5h
202,BTN,BB,SRP,Jd5d,8d4d6dTd2s
203,CO,HJ,3BP,Ac5c,AdTs7h7s6h
204,BTN,HJ,SRP,7d7c,9cKs9d4c4h
205,BTN,BB,SRP,Ac5s,Ah8sJd2dTh
206,HJ,BTN,3BP,8s8c,4s8hAc8dQh
207,BTN,BB,3BP,Ks8s,Jc7sKhQc9s
208,BTN,BB,SRP,5c4c,QsTh6sJs2c
209,BTN,HJ,3BP,Ah5h,9c2s7dKcKs
210,HJ,CO,4BP,KhJh,Qs2cTdQhJs
211,SB,BB,SRP,AcJc,Ts5dAh2h2c
212,SB,CO,3BP,AdQs,Qh7s2h5c3h
213,SB,BB,SRP,7c6c,8s9s2c6dTh
214,SB,BTN,SRP,8d7d,6c5d6d9dAh
215,HJ,BTN,SRP,As3s,Ts8cAhKc7s
216,SB,BTN,SRP,AsQs,4d3c5hQc7s
217,BTN,SB,3BP,7h7s,JdJcKd9cQd
218,CO,BTN,SRP,Jh8h,8cAsTdKd9h
219,BTN,BB,SRP,Qh9c,9s2hKsAs9h
220,BB,BTN,SRP,Kd2d,Ks7cJhTs9s
221,BB,UTG,SRP,JsTs,5d4s3d7d7s
222,BTN,BB,3BP,AdKd,5s3s2s7hJs
223,UTG,BB,SRP,AhTc,9s4cQd6c2c
224,HJ,BTN,SRP,Jc9c,2dJs3h8s3d
225,BB,HJ,SRP,5h5d,8c6cAh6hQh
226,SB,BTN,SRP,8d7d,9s6s8sJd3c
227,SB,BTN,3BP,AdAc,4dQd6h9d8h
228,CO,BTN,3BP,4h4c,6c5d4dAd7c
229,BB,SB,3BP,AsAc,7sTsKcKs5h
230,SB,BTN,SRP,KdJd,Kh5c3d8d7s
231,CO,SB,4BP,AdKh,Jd4sQd3hKc
232,HJ,UTG,SRP,Ad5d,KcTc2dAc6s
233,BB,BTN,3BP,QsJs,7c5h8s5s9c
234,HJ,BTN,4BP,AhAs,TdJcJdKhQc
235,SB,BTN,SRP,QsJs,5s5cAdQc9h
236,SB,BB,SRP,QdQs,Ad2d5hKhTs
237,BTN,SB,SRP,Kd8s,3c7sQdJcKs
238,UTG,BTN,SRP,Ah2h,2c3h8d9s5c
239,BTN,BB,3BP,Ad4d,9c5s2s4h4s
240,HJ,UTG,SRP,KdQd,AhQs6dJc6c
241,BTN,UTG,SRP,Ac9c,As5sJhTcAd
242,HJ,BB,SRP,AcTc,As7d2c2h3s
243,HJ,BTN,3BP,5d5h,Th3h9d6s8c
244,UTG,BTN,SRP,JhJs,KdJd6d9dAs
245,BTN,SB,SRP,KcJh,Jd7cKhThAd
246,HJ,BTN,SRP,AcJd,As7hKcAdQd
247,BB,SB,SRP,Js8s,Kd3sKh9s4h
248,BB,BTN,4BP,AsAd,2cJhAcKh8h
249,CO,BTN,3BP,5h5s,Qc4cJdKh2s
250,BB,CO,3BP,6c7c,2hKd2d4dKc
251,HJ,BTN,SRP,Ad6d,8cQc9s4c4s
252,HJ,SB,SRP,QsQd,Qc6dAsThTd
253,CO,HJ,3BP,AhQh,4d8hJs8sKc
254,BB,SB,SRP,Kh2h,3d5c9h7h2c
255,CO,UTG,SRP,KsTs,6h2c2sAh6d
256,BB,HJ,SRP,9c9s,5c4h4sKdTd
257,BB,SB,SRP,3c3d,QsQhAsJd7h
258,BTN,HJ,SRP,Ah9h,4c6c2h4d8d
259,BTN,CO,4BP,AsAc,6sKs2d4h8s
260,BTN,BB,4BP,AdJd,5cKs6cKc7d
261,BB,SB,SRP,Qc5c,Qs2hJdTh5d
262,HJ,SB,3BP,6h5h,4h4c3dTh3c
263,HJ,BTN,SRP,AsQh,QcQsJhKc3c
264,BTN,BB,SRP,Td9d,Ac5cKc5d8h
265,HJ,BTN,SRP,KdKc,9sKs8h8dQh
266,CO,BTN,3BP,JhJc,8h6hAsAd7d
267,CO,BTN,3BP,Ac5c,AsJd6d3d3s
268,CO,UTG,SRP,Ac4c,Qh5s2c2sQd
269,BB,SB,SRP,Qh8h,4hJdJs7s6c
270,CO,BB,SRP,Kc3c,Jd8s7d6d4h
271,UTG,BB,SRP,As5s,3hThAc3c3s
272,BTN,SB,SRP,Tc8c,JcJsTs3s2d
273,BB,BTN,SRP,8s8c,6c9sKc6hQh
274,BTN,CO,3BP,Kd9d,QhJcKc7s5c
275,HJ,CO,3BP,AdTd,6d5cQh6s9s
276,CO,SB,SRP,AsKs,8dAd4hThKd
277,SB,CO,SRP,AsQc,7dTc8s6h9h
278,BB,BTN,SRP,Qd9d,5c5h6s6hAs
279,SB,BB,SRP,QcQd,Ad3h7hAh3s
280,CO,BB,SRP,Kh3h,7h4sQc9c5c
281,BB,UTG,SRP,KcJc,KsTh4h5d5h
282,SB,CO,3BP,JcTc,Kc9c2d8h6c
283,SB,CO,3BP,QsJs,KdThJd3h9d
284,SB,BTN,SRP,6c5c,6dKc9s8s9c
285,BTN,BB,SRP,6s5s,8s9h5h3sQh
286,UTG,BB,SRP,As9s,JsTs3dQs4d
287,BB,HJ,SRP,Ks5s,9d9c5dTdAs
288,BTN,SB,SRP,As3s,Ks4s9s3d2s
289,BTN,HJ,SRP,7s7h,7dQh2h8s3s
290,BTN,SB,SRP,Ah2h,AdAc8sTcKh
291,UTG,BTN,SRP,6c5c,2c2d7sTcAc
292,BTN,HJ,3BP,AdKs,Kh7c9s4d8s
293,UTG,BB,SRP,AcQh,8sKcTh5d8c
294,BB,BTN,SRP,8d7d,3d9s3cAdQs
295,BTN,HJ,3BP,QdQh,Ad6c9hAs7h
296,BB,BTN,3BP,AhKd,2sTs8cQdAc
297,SB,CO,SRP,TsTc,7cKd8h8d7h
298,CO,HJ,3BP,AhTh,QsKc8s6h8c
299,BTN,CO,4BP,Jd9d,5d5s3cJs9h
300,HJ,BTN,3BP,JcJd,Ac9hKcJs5s
301,BTN,SB,SRP,QsJs,6c8h2c7c5h
302,BB,BTN,4BP,KsQs,5c5h3h2c6d
303,BTN,HJ,3BP,7d6d,7s6sAsAd7c
304,SB,BB,SRP,Td6d,6h2cAs8d2d
305,CO,BTN,SRP,Ah9d,Ac7s4c3c9h
306,BTN,UTG,SRP,Ad9d,8h8s9sQd5s
307,BB,SB,SRP,Kd5d,AcQsQc2h8c
308,UTG,BB,SRP,Ks6s,As5dAh9s2d
309,UTG,BB,SRP,6d6s,9h5c6h2d8d
310,CO,BTN,SRP,8h8d,KdThJc7hKs
311,BB,HJ,SRP,Ad7d,5sJs8hTdQh
312,CO,SB,SRP,5s4s,Jd6d8d3h5h
313,BTN,CO,4BP,Tc9c,Kc8hKh4s9s
314,BB,SB,SRP,8s6s,5s6hTsTdKc
315,CO,SB,SRP,AsTs,Ac8s3sQs8d
316,BB,UTG,SRP,5s5h,4h3dKcTcQd
317,SB,BB,3BP,KsTs,2h7c4h9sKh
318,CO,BB,4BP,As2s,6d6sTsTh5d
319,BB,SB,SRP,Jc7c,4hQc7hJd7s
320,CO,BTN,4BP,AdTd,6d3cJc3s7d
321,BB,BTN,3BP,Tc8c,Qc8s2sJc2d
322,CO,BTN,SRP,Ks5s,Kd4h6d6c4c
323,HJ,UTG,SRP,AdTd,4s2hJs6h3c
324,BTN,HJ,SRP,AcQd,2h2cAs4s4h
325,BB,BTN,3BP,9h8h,7hTdJs8sQh
326,UTG,BB,SRP,KcQc,2s7h3h4c8c
327,CO,BTN,SRP,AhAc,9dKdAd2sTd
328,SB,BB,SRP,Ac4d,4cKdKs9s9c
329,BB,HJ,SRP,9d9s,9h4sTh9cTc
330,BB,HJ,3BP,KdQd,5h4h3d8s2s
331,CO,SB,3BP,Jd9d,Ks7cAcTh4s
332,BB,UTG,SRP,As2s,Ad4c8c7d3h
333,BTN,HJ,SRP,AdTd,3dKh3sJs2h
334,BTN,SB,3BP,KdJd,5d6h8h5sQd
335,BB,CO,3BP,QhJh,Th9d5h4cTs
336,BTN,SB,SRP,4s4d,6dAsThAhKc
337,UTG,HJ,SRP,AcKc,9dJc7s6cJs
338,HJ,UTG,SRP,KsTs,JdKd3s3c3d
339,CO,UTG,SRP,Ah5h,Qs5dTd2hAs
340,BTN,BB,SRP,AdQd,8c2c7d6h9c
341,SB,CO,4BP,JsTs,Kc2sTh2h7s
342,BB,SB,SRP,8s6s,8c5h9cQc9d
343,HJ,SB,SRP,AcAh,6c9s7d5sAs
344,SB,BB,SRP,Ks6s,QcKd9s2c9h
345,CO,BTN,3BP,6s6h,8dAhQdTc3c
346,BB,UTG,SRP,Ac9c,Kc3c8c4s3d
347,UTG,BTN,SRP,TcTs,9s7d3hTd9h
348,CO,BTN,SRP,6s7s,5sTcAhKd8c
349,BB,SB,SRP,Ks9d,4s9cJd9s3s
350,BTN,SB,4BP,AcKs,Qd8s6dAsKc
351,CO,SB,SRP,As9s,4h5s7d5dAh
352,BB,SB,4BP,TsTd,6sTh2c6dJs
353,SB,BTN,3BP,9d9h,Kc6d9s2c3h
354,HJ,BTN,SRP,KhTc,Jd3h9cJh2h
355,CO,UTG,SRP,KhQh,7s9dJdTc7c
356,CO,SB,SRP,AhQh,2d4h8c4d3d
357,BTN,BB,SRP,Ts9h,9s5sJhQh5h
358,BTN,HJ,3BP,As8s,9dTs3h5d2s
359,BB,BTN,SRP,3d3h,Ah2hJc5d5s
360,BB,SB,SRP,9c7c,6c6hJhTc8s
361,BTN,BB,SRP,As2s,6hTc7cTs3d
362,UTG,CO,SRP,AcQc,QhTs2dJs4d
363,BB,SB,SRP,QcTd,KhAd3cTc6d
364,SB,HJ,3BP,TsTd,4hKh8s3h7d
365,CO,BB,SRP,QdQc,8dKhKcQsAh
366,BB,BTN,3BP,JhTh,8dAc4s7c6h
367,BB,BTN,SRP,As8s,7d5c4dJs6c
368,CO,BB,SRP,JcTc,5cAsJh9dQs
369,BTN,SB,3BP,QdJd,7cKsTs7s4d
370,BTN,BB,SRP,AhQh,Ac6s6d7cJd
371,UTG,BB,SRP,8h8s,KhJd5c2dAs
372,HJ,UTG,3BP,KdKs,TsKh8s3sQc
373,SB,CO,SRP,7h7c,As8d8c3hTd
374,CO,BB,3BP,AdQh,3d8cJd7s5h
375,HJ,UTG,SRP,Ad5d,2h9cQc7c3s
376,BB,SB,SRP,As5s,5h8s6s4d4s
377,SB,BTN,SRP,4h4c,AcJdAhJsJh
378,BTN,BB,SRP,Ad2c,4h7c9s6sJh
379,BB,BTN,3BP,AdQs,JsQdAc9hTd
380,CO,UTG,SRP,9h9s,Ad7h8c4s5s
381,BB,HJ,3BP,Tc9c,Jh9s4d6c3h
382,BTN,BB,SRP,6h5h,8c5c6s2d8d
383,BB,HJ,SRP,JhJd,4s9h8c5h7s
384,HJ,UTG,SRP,As5s,4h4dKsQc4s
385,BB,BTN,SRP,AsTs,2d3h2c4hKc
386,BTN,CO,3BP,Ad5d,6cQh4h6hQc
387,BTN,HJ,3BP,AdJh,JdAh2s7hQc
388,CO,BTN,3BP,Tc9c,Td7d4sJsQs
389,BB,BTN,3BP,Jh8h,2cQd8sTdKc
390,UTG,BB,SRP,8s8h,Kc7dQs8cAd
391,CO,BB,SRP,Qc6c,9c9d4h5d6h
392,BTN,CO,3BP,As7s,2cThQd9sAd
393,CO,BB,3BP,QcQh,AcTcJs8hAh
394,BB,SB,SRP,6c6h,QhJdKcQs4d
395,HJ,CO,3BP,9d9s,3s4s9c7h6h
396,BB,HJ,3BP,QcTc,9hKsQh3dTs
397,HJ,BTN,3BP,JsTs,JdTc9s7h9h
398,HJ,BB,3BP,QdTd,8hAh8dJh8s
399,BTN,HJ,3BP,KcQd,8hQsKsAd2s
400,HJ,BB,SRP,8d8h,Td6sJcAsQd
401,BTN,SB,SRP,Qc9d,5h6s3cKdKs
402,BTN,SB,4BP,QdQs,8dTc7s5c4h
403,BB,UTG,SRP,JsTs,Qh5c5dThAh
404,BB,SB,SRP,6c3c,4hQc7hAd4d
405,CO,SB,SRP,Js9s,9h3d2d4s8d
406,CO,BTN,4BP,JdTd,KhTc3d8hAc
407,CO,BB,3BP,TcTd,Qd8cJh3dTh
408,BTN,BB,4BP,AcAd,KsKc4h3s8s
409,SB,BTN,4BP,TcTs,7c7dAhTh8s
410,SB,BTN,SRP,KcQc,2d6c9d4h2h
411,BB,BTN,4BP,AhQs,Td6hAsTsKh
412,UTG,BB,SRP,AdTh,5h6h3cAs6c
413,UTG,CO,SRP,JdTd,6c5s6h7s8h
414,SB,BTN,SRP,KsTs,5cQcKd2c2h
415,CO,BB,3BP,5s5c,3h9hQhKd3s
416,BTN,SB,SRP,Ad6s,8dJcKc7cTh
417,BB,BTN,SRP,AsJs,7h4c9cJc2h
418,BB,CO,3BP,AsQs,TcJd3d4c7h
419,CO,BB,3BP,KsTs,8sJc2d4h3d
420,SB,BB,SRP,5h4h,5sKsKdJdQs
421,BB,HJ,3BP,Ah3h,9s9dKs9cJd
422,SB,BTN,4BP,6c5c,4s8sTh6d7s
423,SB,BB,SRP,Ad4c,KdQd2dJcJs
424,HJ,BB,SRP,Ac3c,8c3d2s2h5s
425,CO,BTN,SRP,AdKh,AcQcAs4hJs
426,SB,BTN,3BP,AhJs,4cAdQh5dJh
427,BB,BTN,SRP,Td6d,TsJc5hAs6c
428,SB,BB,SRP,5d3d,QhJd5cAh7d
429,BB,BTN,SRP,Kd8d,2hQhKc2d2c
430,BB,BTN,SRP,As7s,AhTc2hQdKc
431,HJ,SB,SRP,5c5s,4h3h7h4s6h
432,HJ,BB,3BP,6s6d,7d2dKc9d6c
433,BTN,BB,3BP,AhJh,TdKc4d4c4s
434,BTN,HJ,3BP,QdQs,9sKs4d8d5h
435,BTN,BB,SRP,QdTd,2c3cQcKcAd
436,UTG,CO,SRP,JcJh,As4s3c5d9h
437,HJ,BTN,4BP,KcKh,6c9s3hTd5h
438,BB,HJ,SRP,8h6h,6d3c5c8c4d
439,UTG,HJ,SRP,6h5h,Td5d2cJc2d
440,BB,BTN,SRP,6s6c,7d8hQh6d5s
441,BB,BTN,SRP,Kd9d,2c2d4dQsQc
442,HJ,UTG,SRP,TsTh,2s7d3s9c6h
443,BTN,SB,3BP,9h8h,5hQc6h6sAc
444,BB,CO,3BP,KcQc,3dKhThQs2c
445,BB,SB,SRP,As7s,KhJc7dTd5d
446,BB,HJ,3BP,QdJd,QsQc3d2h5d
447,BB,HJ,SRP,QsJh,7d5h8dJcJd
448,UTG,BTN,SRP,9h9d,9c7c4s3s8s
449,CO,BB,SRP,QdQh,2cQs2sKc7d
450,BTN,UTG,SRP,9h9d,9c9sTc4sQh
451,SB,CO,SRP,KdTd,7dJd3h9h6h
452,CO,BB,3BP,AcTc,TdJd9c3h3d
453,SB,BTN,SRP,8h8s,QdKsQs4dAh
454,BTN,BB,SRP,6h5h,2sQd5d8h6s
455,UTG,CO,SRP,KsKc,9hJs5s7d4s
456,BTN,BB,SRP,Td6d,9cKhKs3s8c
457,SB,BB,SRP,AsJs,Kh4c8s2d4s
458,CO,BTN,SRP,AdKc,AcKsKdJc8c
459,BTN,BB,4BP,Kh7h,3sKsKd9c3d
460,UTG,BB,SRP,QdJd,3c5hAhAd7s
461,BTN,HJ,SRP,AdJd,3c5dJc5hTs
462,CO,BTN,3BP,AhJh,Qh3h6sJdTd
463,BTN,UTG,3BP,KhTh,Td4s6cQcJs
464,BTN,HJ,SRP,8s8d,6cQs7dTcJh
465,BB,BTN,3BP,KsQs,8s9hAcThJd
466,BB,BTN,SRP,Ac8h,Qc9sQhKcJh
467,UTG,BB,SRP,Ad4d,2s8c7c9cAs
468,HJ,BTN,SRP,6c5c,2sAhAs7hJc
469,HJ,BTN,3BP,JcTc,2h7dAdKsQd
470,BTN,BB,3BP,9s9c,9dKs5s4d6c
471,CO,HJ,3BP,AhQh,Tc3sAc5sJh
472,CO,BB,SRP,JdTc,Th3s8c8hKs
473,UTG,BTN,3BP,TdTs,JsQhAdAcAh
474,UTG,BB,SRP,Kh8h,KcTs5sTd7s
475,HJ,UTG,SRP,AdQc,2s3dQsJc3c
476,BB,HJ,3BP,Td9d,Th6h6c8c7h
